Date,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,8037.53759765625,25521165085,8065.34,7724.83,7507.9,7389.3,7387.77,7972.34,9183.62,7981.15,7758.88,7581.22,7570.53,7635.42,7987.8,8177.66,63.88,60.98,54.41,399.93,332.75,243.29,177.66,126.82,79.64,409.29,320.51,213.13,187.02,114.58,49.48,63.94,69.28,75.76,75.09,80.65,80.12
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,8192.494140625,22903438381,8071.1,7845.53,7549.75,7420.06,7403.67,7972.2,9159.51,8051.6,7825.59,7626.5,7610.66,7657.26,7991.85,8177.81,68.39,63.66,56.04,425.1,363.53,279.65,199.09,150.91,103.53,445.26,362.09,259.55,219.25,149.47,83.44,79.32,74.03,86.22,82.15,89.0,85.75
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,8144.1943359375,22482910688,8083.97,7925.46,7590.83,7454.04,7425.59,7972.13,9144.31,8082.46,7874.6,7664.85,7645.08,7676.36,7994.87,8177.47,65.42,62.23,55.4,417.61,381.56,307.24,209.75,170.52,124.78,446.24,390.14,296.89,238.38,179.11,114.42,62.3,68.52,82.96,81.65,86.4,85.35
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,8827.7646484375,44841784107,8273.71,8067.17,7668.46,7509.89,7459.23,7980.52,9126.41,8330.89,8021.24,7750.99,7721.38,7721.51,8011.36,8183.94,79.85,71.9,61.79,579.9,447.67,361.77,270.25,203.76,153.87,628.48,469.59,363.21,318.83,225.68,155.31,95.51,79.04,97.37,88.85,97.79,91.06
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,8807.0107421875,40102834650,8401.8,8206.74,7746.86,7572.37,7491.0,7986.14,9110.65,8489.6,8142.13,7829.22,7791.42,7764.08,8027.12,8190.14,78.69,71.3,61.52,660.38,518.57,421.49,312.91,240.15,185.68,725.82,555.0,435.73,378.35,276.57,199.91,92.86,83.56,95.79,92.04,95.79,93.33
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,8723.7861328125,31313981931,8539.05,8302.2,7818.55,7641.82,7514.84,7991.09,9100.19,8567.66,8231.61,7895.48,7851.58,7801.71,8040.91,8195.45,73.67,68.83,60.39,672.18,569.78,471.63,336.13,272.14,215.77,750.55,620.18,498.69,414.5,322.55,242.83,85.7,91.36,91.58,94.91,91.58,95.05
2020-01-17,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,8929.0380859375,36372139320,8686.36,8378.73,7899.1,7696.89,7544.16,7994.42,9091.92,8688.12,8338.91,7972.04,7921.09,7845.92,8058.5,8202.75,77.75,71.46,62.16,716.08,618.54,520.52,366.87,303.72,245.99,809.23,683.2,560.8,460.02,368.37,286.27,96.94,91.83,98.24,95.2,98.58,95.32
2020-01-18,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,8942.80859375,32337772627,8846.08,8465.02,7975.11,7754.89,7567.79,7997.98,9082.62,8773.02,8431.82,8043.95,7987.01,7888.94,8076.01,8210.12,78.02,71.63,62.28,729.07,655.39,562.23,387.87,331.77,274.37,835.02,733.81,615.65,493.82,410.19,327.78,93.08,91.91,95.69,95.17,96.69,95.62
2020-01-19,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,8706.2451171875,34217320471,8821.78,8547.74,8045.77,7804.47,7590.52,8001.83,9066.35,8750.76,8474.04,8093.01,8033.41,7920.99,8088.49,8215.05,62.9,64.42,59.01,657.75,656.17,581.33,381.03,348.19,295.7,770.08,745.9,646.53,493.36,437.91,360.9,57.76,82.59,73.9,89.28,79.63,91.63
2020-01-20,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,8657.642578125,26422375678,8791.91,8596.85,8118.97,7853.35,7615.19,8005.04,9053.56,8719.72,8502.29,8134.83,8073.68,7949.88,8099.76,8219.46,60.1,63.02,58.36,584.89,632.41,582.05,367.46,354.61,310.05,701.43,731.07,657.51,484.0,453.27,385.52,50.49,67.11,64.75,78.11,77.47,84.6
