,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume
time,,,,,
2021-03-25 15:48:00-04:00,233.05,233.12,233.04,233.09,2995
2021-03-25 15:49:00-04:00,233.075,233.075,233.02,233.045,2355
2021-03-25 15:50:00-04:00,233.06,233.35,233.06,233.21,3159
2021-03-25 15:51:00-04:00,233.16,233.16,233.05,233.135,3203
2021-03-25 15:52:00-04:00,233.135,233.26,233.09,233.11,5567
2021-03-25 15:53:00-04:00,233.07,233.14,233.055,233.09,4209
2021-03-25 15:54:00-04:00,233.09,233.21,232.59,232.62,5939
2021-03-25 15:55:00-04:00,232.54,232.79,232.51,232.65,5557
2021-03-25 15:56:00-04:00,232.66,232.66,232.53,232.55,5552
2021-03-25 15:57:00-04:00,232.505,232.55,232.33,232.33,4109
2021-03-25 15:58:00-04:00,232.34,232.44,232.34,232.44,8017
2021-03-25 15:59:00-04:00,232.47,232.59,232.245,232.26,7800
