Datetime,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2021-03-22 08:50:00,57436.78125,57497.69140625,57436.78125,57483.6015625,57483.6015625,42057728,57507.88,57599.89,57715.23,57759.94,57730.27,57436.81,57533.17,57509.99,57600.76,57677.84,57684.19,57672.06,57596.81,57539.12,32.08,36.81,44.08,-167.85,-136.55,-105.24,-77.08,-57.19,-39.89,-176.36,-136.6,-98.36,-85.59,-57.24,-33.02,23.03,11.19,19.4,9.37,15.5,7.53
2021-03-22 08:55:00,57433.3671875,57511.484375,57405.1875,57450.328125,57450.328125,0,57476.78,57577.43,57694.76,57744.3,57726.53,57439.21,57533.45,57490.1,57577.61,57660.99,57669.1,57663.36,57593.91,57538.24,29.32,35.23,43.14,-170.89,-148.0,-118.37,-83.38,-65.92,-48.59,-183.14,-152.12,-115.32,-95.63,-70.04,-45.54,17.36,16.94,12.05,13.36,9.62,10.72
2021-03-22 09:00:00,57452.01953125,57452.01953125,57277.65234375,57438.5859375,57438.5859375,0,57444.26,57555.35,57670.99,57730.11,57722.87,57443.31,57533.07,57472.93,57556.23,57644.51,57654.23,57654.55,57590.83,57537.24,28.31,34.67,42.8,-171.58,-155.86,-129.01,-88.28,-73.37,-56.53,-187.27,-163.83,-129.71,-103.97,-81.35,-57.23,46.86,29.08,32.23,21.23,23.51,16.21
2021-03-22 09:05:00,57342.8125,57348.7890625,57154.69140625,57206.9296875,57206.9296875,0,57403.01,57499.51,57634.39,57709.08,57713.27,57447.92,57531.67,57384.26,57502.49,57612.1,57625.37,57636.99,57583.23,57533.96,15.84,25.87,36.94,-227.84,-179.85,-148.78,-109.61,-85.45,-67.14,-250.76,-192.81,-153.92,-132.53,-98.41,-72.29,11.23,25.15,8.4,17.56,6.47,13.2
2021-03-22 09:10:00,57329.34765625,57463.3515625,57283.69140625,57436.0078125,57436.0078125,183738368,57403.09,57469.46,57611.74,57694.56,57709.33,57455.55,57531.67,57401.51,57492.26,57599.05,57613.15,57629.11,57580.31,57532.98,44.2,41.64,44.71,-197.54,-185.75,-158.53,-106.79,-92.56,-75.07,-222.46,-202.69,-167.63,-131.71,-109.51,-84.17,72.73,43.61,45.21,28.61,35.86,21.95
2021-03-22 09:15:00,57456.55078125,57522.69140625,57220.28515625,57522.69140625,57522.69140625,61722624,57410.91,57459.4,57594.69,57680.28,57707.89,57463.46,57532.52,57441.91,57496.94,57593.4,57607.32,57624.94,57579.17,57532.88,51.43,46.3,47.25,-151.49,-174.33,-157.12,-96.46,-93.86,-79.35,-176.43,-193.94,-169.39,-121.4,-113.47,-91.62,100.0,61.32,59.14,37.58,46.9,29.74
2021-03-22 09:20:00,57471.66015625,57477.99609375,57259.10546875,57307.36328125,57307.36328125,0,57382.32,57429.55,57569.89,57660.74,57701.95,57469.45,57532.36,57397.06,57467.78,57572.21,57587.96,57612.48,57573.79,57530.64,37.39,38.15,42.24,-175.15,-174.6,-160.73,-104.43,-97.39,-84.37,-204.0,-197.29,-176.31,-133.28,-120.08,-99.95,41.49,71.41,24.53,42.96,19.46,34.07
2021-03-22 09:25:00,57424.72265625,57424.72265625,57380.77734375,57420.765625,57420.765625,49217536,57378.75,57411.5,57549.19,57645.65,57698.03,57477.54,57532.64,57404.96,57460.54,57560.99,57577.18,57604.97,57570.76,57529.54,46.38,43.76,45.4,-156.03,-168.41,-159.79,-100.45,-98.41,-87.58,-186.09,-193.56,-178.27,-130.51,-123.55,-106.06,72.3,71.26,42.76,42.14,33.91,33.42
2021-03-22 09:30:00,57423.37109375,57511.671875,57423.37109375,57511.671875,57511.671875,0,57439.7,57421.36,57538.06,57635.5,57696.33,57484.91,57533.23,57440.53,57468.41,57557.34,57572.95,57601.31,57569.59,57529.37,52.73,47.85,47.78,-116.81,-151.21,-151.19,-88.93,-95.25,-87.85,-146.11,-177.74,-171.83,-118.23,-121.78,-108.5,97.01,70.27,64.32,43.87,45.5,32.96
2021-03-22 09:35:00,57500.7890625,57500.7890625,57376.94921875,57410.2734375,57410.2734375,0,57434.55,57418.82,57520.05,57625.07,57694.21,57491.87,57533.2,57430.44,57459.47,57546.44,57562.46,57593.81,57566.43,57528.18,45.69,44.01,45.49,-116.0,-139.47,-144.15,-86.97,-92.49,-87.68,-146.4,-167.29,-166.75,-117.37,-120.31,-110.27,69.45,79.59,54.8,53.96,32.57,37.33
2021-03-22 09:40:00,57454.4375,57466.75,57412.26171875,57443.37109375,57443.37109375,0,57418.69,57414.8,57507.34,57615.09,57692.68,57500.39,57533.75,57434.75,57456.99,57538.81,57554.77,57587.92,57564.0,57527.34,48.32,45.55,46.36,-104.06,-127.67,-136.13,-81.82,-88.93,-86.5,-134.67,-156.42,-160.33,-112.43,-117.68,-110.7,73.77,80.08,62.04,60.39,36.79,38.29
2021-03-22 09:45:00,57452.40625,57452.40625,57383.640625,57385.43359375,57385.43359375,0,57434.3,57408.31,57492.87,57599.27,57688.73,57508.18,57534.21,57418.31,57445.98,57527.45,57543.85,57579.97,57560.46,57525.92,43.97,43.31,45.05,-109.14,-121.49,-130.74,-81.47,-86.44,-85.5,-140.89,-151.24,-156.44,-113.22,-116.2,-111.21,54.61,65.94,59.66,58.83,29.41,32.92
2021-03-22 09:50:00,57403.4296875,57506.0546875,57403.4296875,57498.0234375,57498.0234375,0,57449.75,57414.25,57484.8,57585.41,57686.56,57516.78,57535.57,57444.88,57453.99,57525.27,57540.89,57576.76,57559.22,57525.65,53.46,48.6,48.01,-80.39,-107.79,-120.67,-71.28,-81.39,-82.65,-110.92,-137.8,-147.34,-101.81,-111.4,-109.33,94.6,74.33,93.3,71.67,47.21,37.8
2021-03-22 09:55:00,57522.0390625,57522.0390625,57416.80078125,57487.78125,57487.78125,0,57444.97,57442.34,57470.92,57570.38,57682.77,57525.18,57536.52,57459.18,57459.19,57522.49,57537.46,57573.27,57557.81,57525.27,52.52,48.16,47.76,-63.31,-92.96,-109.2,-63.3,-75.36,-78.78,-92.84,-122.81,-136.44,-92.83,-105.21,-106.03,76.39,75.2,90.51,81.16,47.44,41.35
2021-03-22 10:00:00,57487.3828125,57511.5546875,57393.49609375,57511.5546875,57511.5546875,0,57465.23,57449.89,57459.68,57557.79,57676.41,57533.54,57537.34,57476.64,57467.24,57521.68,57535.79,57570.85,57556.89,57525.13,54.68,49.3,48.39,-45.04,-76.99,-96.36,-54.44,-68.39,-73.91,-73.14,-106.26,-123.78,-82.54,-97.65,-101.33,92.77,87.92,96.97,93.59,51.46,48.7
2021-03-22 10:05:00,57489.5859375,57858.67578125,57489.5859375,57858.67578125,57858.67578125,172056576,57548.29,57483.49,57471.44,57557.62,57678.82,57544.38,57539.97,57603.98,57527.46,57546.64,57556.62,57582.14,57562.87,57528.45,74.5,62.4,56.33,57.34,-32.21,-65.62,-19.18,-51.98,-62.97,37.04,-58.49,-91.62,-39.48,-78.26,-88.96,100.0,89.72,100.0,95.83,100.0,66.3
2021-03-22 10:10:00,57938.88671875,58015.3984375,57916.8046875,57985.109375,57985.109375,269574144,57668.23,57551.26,57490.41,57563.68,57680.93,57556.51,57543.27,57731.03,57597.87,57579.12,57584.27,57597.94,57571.23,57533.0,78.5,65.85,58.72,151.91,29.16,-22.12,18.75,-28.41,-46.62,140.86,7.96,-45.12,7.7,-49.61,-69.63,95.21,95.99,96.48,97.82,96.48,82.65
2021-03-22 10:15:00,57981.64453125,58255.1171875,57981.64453125,58255.1171875,58255.1171875,445157376,57819.65,57634.7,57523.1,57577.7,57687.79,57571.78,57547.74,57905.72,57698.99,57629.2,57627.55,57623.71,57584.77,57540.18,84.54,71.82,63.2,276.52,111.61,37.61,69.79,4.33,-23.34,278.61,98.18,19.63,71.88,-9.11,-41.33,100.0,98.4,100.0,98.83,100.0,98.83
2021-03-22 10:20:00,58298.4921875,58471.48046875,58298.4921875,58387.94140625,58387.94140625,90386432,57999.68,57722.33,57571.84,57599.48,57698.38,57588.48,57552.86,58066.46,57804.98,57685.4,57676.61,57653.68,57600.68,57548.62,86.68,74.2,65.12,381.06,201.43,106.3,119.58,42.74,5.24,397.08,197.81,95.12,135.6,39.13,-5.94,92.25,95.82,93.32,96.6,93.66,96.71
2021-03-22 10:25:00,58185.83984375,58249.1796875,58185.83984375,58187.1171875,58187.1171875,0,58134.79,57800.01,57609.42,57613.37,57706.03,57603.58,57556.85,58106.68,57863.77,57722.56,57709.54,57674.6,57612.29,57554.97,69.63,65.21,60.18,384.12,262.33,161.86,141.21,75.57,32.44,408.54,268.05,157.8,165.63,81.29,28.37,73.62,88.62,76.55,89.96,78.41,90.69
2021-03-22 10:30:00,58193.55078125,58328.9609375,58193.55078125,58268.62890625,58268.62890625,86781952,58216.78,57882.54,57648.67,57632.41,57715.43,57618.92,57561.38,58160.66,57926.06,57763.01,57745.61,57697.9,57625.29,57562.07,72.22,66.96,61.41,397.65,307.43,209.02,163.05,104.73,58.56,430.82,322.31,212.4,196.22,119.6,61.94,81.18,82.35,81.47,83.78,84.6,85.56
2021-03-22 10:35:00,58288.30859375,58288.30859375,58227.9296875,58227.9296875,58227.9296875,0,58265.35,57966.79,57687.55,57650.84,57721.6,57632.7,57565.73,58183.09,57972.5,57797.45,57776.73,57718.68,57637.22,57568.7,68.81,65.2,60.44,385.64,333.5,244.35,175.05,128.17,81.86,425.58,356.73,255.04,214.99,151.4,92.55,75.2,76.67,77.75,78.59,81.5,81.5
2021-03-22 10:40:00,58223.53125,58223.53125,58172.78515625,58177.92578125,58177.92578125,43868160,58249.91,58034.78,57724.52,57668.13,57727.87,57644.43,57569.37,58181.37,58004.1,57825.64,57802.61,57736.69,57647.93,57574.76,64.44,63.0,59.25,355.73,340.91,266.62,178.46,144.93,101.18,400.51,371.33,284.13,223.24,175.35,118.69,47.08,67.82,73.18,77.47,77.71,81.27
2021-03-22 10:45:00,58181.1875,58181.1875,58152.85546875,58152.85546875,58152.85546875,110567424,58202.89,58101.29,57771.81,57681.05,57734.17,57655.85,57573.03,58171.87,58026.99,57849.87,57825.21,57753.01,57657.93,57580.51,62.13,61.88,58.65,322.0,334.61,277.7,177.12,155.66,116.37,370.34,371.0,301.38,225.46,192.05,140.04,34.95,52.41,70.71,73.88,75.8,78.34
2021-03-22 10:50:00,58172.95703125,58184.89453125,58111.66015625,58139.4921875,58139.4921875,45498368,58193.37,58164.08,57806.99,57694.48,57739.53,57667.22,57576.63,58161.07,58044.3,57871.33,57845.49,57768.17,57667.46,57586.07,60.78,61.25,58.32,289.74,319.65,280.11,172.97,161.43,127.69,340.76,360.92,309.25,223.99,202.7,156.83,7.73,29.92,69.48,71.12,74.79,76.1
2021-03-22 10:55:00,58213.171875,58213.171875,58130.453125,58130.453125,58130.453125,97226752,58165.73,58191.26,57837.37,57711.38,57743.12,57677.46,57579.98,58150.87,58057.55,57890.52,57863.87,57782.38,57676.63,57591.49,59.75,60.8,58.1,260.35,299.88,276.15,167.03,163.3,135.56,313.33,345.06,310.07,220.01,208.47,169.47,8.65,17.11,68.36,69.52,74.1,74.9
2021-03-22 11:00:00,58121.10546875,58121.10546875,58064.04296875,58097.25390625,58097.25390625,0,58139.6,58202.47,57876.87,57727.76,57747.19,57688.13,57583.24,58132.99,58063.66,57905.83,57878.93,57794.72,57684.96,57596.52,55.72,59.09,57.25,227.16,275.64,266.36,157.83,161.47,140.01,281.02,323.71,304.26,211.69,209.54,177.91,12.54,9.64,65.28,67.71,71.58,73.49
2021-03-22 11:05:00,58125.85546875,58205.18359375,58125.85546875,58205.18359375,58205.18359375,64024576,58145.05,58197.48,57916.09,57747.89,57753.83,57699.98,57587.26,58157.06,58085.43,57928.01,57899.98,57810.82,57695.26,57602.58,64.75,62.76,59.26,229.05,260.11,258.89,157.42,160.12,143.49,285.47,310.96,300.5,213.84,210.97,185.1,62.93,28.04,75.3,69.65,79.78,75.15
2021-03-22 11:10:00,58174.9765625,58174.9765625,58155.6640625,58155.6640625,58155.6640625,18608128,58145.61,58174.25,57948.29,57772.64,57760.62,57711.23,57591.15,58156.59,58096.24,57944.87,57916.47,57824.34,57704.38,57608.08,58.38,60.1,57.96,211.72,243.98,249.46,151.37,157.21,145.07,269.22,297.05,294.24,208.87,210.27,189.85,57.45,44.31,67.84,69.47,76.02,75.79
